review_id,platform,aspect,topic_id,sentiment
0,unknown,around one guy,0,negative
0,unknown,everything gross table,0,negative
0,unknown,mini golf need,0,negative
0,unknown,none kid,-1,negative
0,unknown,disgusting chair,0,negative
0,unknown,bumper plenty adult kid,-1,negative
0,unknown,bumper playing,0,negative
0,unknown,u real jerk husband,-1,negative
0,unknown,buy mini golfsone worker,-1,negative
0,unknown,bumper,-1,negative
0,unknown,youth group fun,0,negative
0,unknown,minute,0,negative
0,unknown,everything place,0,negative
0,unknown,crazy bowl,0,negative
0,unknown,almost hour ball,0,negative
0,unknown,food,-1,negative
1,unknown,long list book,1,negative
1,unknown,abby,0,negative
1,unknown,hell,0,negative
1,unknown,iteven boy abby crush,0,negative
1,unknown,great herall hell break,0,negative
1,unknown,twin sister annika,0,negative
1,unknown,something,0,negative
1,unknown,community college home town,0,negative
1,unknown,goodreads,-1,negative
1,unknown,really enjoyed book,1,negative
1,unknown,many read book,-1,negative
1,unknown,first couple page,-1,negative
1,unknown,that,0,negative
1,unknown,thing,-1,negative
1,unknown,everything,0,negative
1,unknown,life,-1,negative
1,unknown,finished long book,-1,negative
2,unknown,nathan,0,negative
2,unknown,amp conflict,0,negative
2,unknown,best james difficulty,-1,negative
3,unknown,end book,-1,negative
3,unknown,middle chapter,-1,negative
3,unknown,quickly able follow storyline,-1,negative
3,unknown,ad,0,negative
3,unknown,story butthe plot,-1,negative
3,unknown,puzzle game,0,negative
3,unknown,cup tea,0,negative
4,unknown,simplistic writing read hour,-1,negative
4,unknown,travel world,-1,negative
4,unknown,dumbest book,-1,negative
4,unknown,ever two main character,-1,negative
4,unknown,negative star good thing,0,negative
4,unknown,nadia,0,negative
4,unknown,star review,0,negative
4,unknown,bad breakup,-1,negative
4,unknown,much lower goodreadscom star,-1,negative
5,unknown,really old fashioned lingo,0,negative
5,unknown,adolescent boy,0,negative
5,unknown,particularly barely escape life,0,negative
5,unknown,book lot issue,-1,negative
5,unknown,way,0,negative
5,unknown,buddy house,-1,negative
5,unknown,main character female thought,-1,negative
5,unknown,act,0,negative
5,unknown,chapter giving,-1,negative
5,unknown,hand,0,negative
5,unknown,positive review,-1,negative
5,unknown,author name confused againbrian,-1,negative
5,unknown,nothing,0,negative
6,unknown,cancer use,0,negative
7,unknown,elsewhere manager,0,negative
7,unknown,next table floor,0,negative
7,unknown,door,0,negative
7,unknown,money,-1,negative
7,unknown,trash,0,negative
7,unknown,booth,0,negative
7,unknown,kid,0,negative
7,unknown,steak,0,negative
7,unknown,know bad kid mention,0,negative
7,unknown,noticed parking lot,-1,negative
7,unknown,n shake breakfast,0,negative
8,unknown,know shifter going claim,0,negative
8,unknown,somethings,0,negative
8,unknown,trust know man,0,negative
8,unknown,special doctor,0,negative
8,unknown,anything,0,negative
8,unknown,president,-1,negative
8,unknown,enemy territory,-1,negative
8,unknown,lucas leah lucas,0,negative
8,unknown,danger,0,negative
8,unknown,leah dead seth,0,negative
8,unknown,aware liking,0,negative
9,unknown,fly boy story,-1,negative
9,unknown,something,0,negative
9,unknown,simple fly boy,0,negative
9,unknown,next installment,-1,negative
9,unknown,what,0,negative
9,unknown,anxious read,-1,negative
10,unknown,understand,-1,negative
10,unknown,flat paper,0,negative
10,unknown,emotion check,0,negative
11,unknown,much sex sex,-1,negative
11,unknown,language,-1,negative
11,unknown,overall fact group,0,negative
11,unknown,one person,0,negative
11,unknown,single mother,0,negative
11,unknown,kind good event,0,negative
11,unknown,mc group,0,negative
11,unknown,adventure,-1,negative
11,unknown,female book abuse,-1,negative
11,unknown,guy,-1,negative
11,unknown,really expected end denise,0,negative
11,unknown,base,0,negative
11,unknown,booki,-1,negative
11,unknown,book,-1,negative
11,unknown,typical mc book,-1,negative
11,unknown,many book,-1,negative
11,unknown,mc groupin book,-1,negative
11,unknown,lot downplay,0,negative
11,unknown,denise meredith reporter,0,negative
11,unknown,source,0,negative
11,unknown,mc book,1,negative
11,unknown,point,0,negative
11,unknown,head water,0,negative
11,unknown,illegal dealing,0,negative
11,unknown,mean,0,negative
11,unknown,one job,0,negative
12,unknown,train ride home healthier,0,negative
13,unknown,fast need,0,negative
13,unknown,book,-1,negative
13,unknown,rachel,0,negative
15,unknown,unique perspective detective couple,-1,negative
15,unknown,nice homage,0,negative
15,unknown,fun murder mystery,-1,negative
15,unknown,life,-1,negative
15,unknown,real murderer,-1,negative
15,unknown,solving murder,-1,negative
15,unknown,tothe inadvertent thief thief,0,negative
15,unknown,trial girlfriend,0,negative
15,unknown,alcoholicwashed lawyer,-1,negative
15,unknown,property,0,negative
15,unknown,private investigator exwife,0,negative
16,unknown,time,-1,negative
16,unknown,deanna deliversi,0,negative
16,unknown,edge,0,negative
16,unknown,first page,0,negative
16,unknown,bookdidnt happenas,-1,negative
16,unknown,downthe adventure jade kane,-1,negative
17,unknown,boy,0,negative
17,unknown,regular school boy,0,negative
17,unknown,needy bottom,0,negative
17,unknown,matter obnoxious womanhaving,-1,negative
17,unknown,opinionthis series book,1,negative
17,unknown,virtue overcome obstacle,-1,negative
17,unknown,headed direction boymeetsgirl story,-1,negative
17,unknown,heroine life briannas,-1,negative
17,unknown,simply wise discipline,-1,negative
17,unknown,girl,-1,negative
17,unknown,personality transplant scott,0,negative
17,unknown,story idea,-1,negative
17,unknown,trust,0,negative
18,unknown,logical conclusion,0,negative
18,unknown,cliffhanger,-1,negative
18,unknown,cliffhanger end,-1,negative
18,unknown,fan postapocalyptic fiction book,-1,negative
18,unknown,book cliffhanger,-1,negative
18,unknown,story,-1,negative
18,unknown,happen lot kindle book,-1,negative
18,unknown,adequately paced part series,-1,negative
18,unknown,merit,0,negative
18,unknown,one part series,-1,negative
18,unknown,book end middle scene,-1,negative
18,unknown,every book,-1,negative
18,unknown,next installment,-1,negative
18,unknown,first episode,0,negative
18,unknown,additionally old school thinking,0,negative
19,unknown,gretchen,0,negative
19,unknown,study,-1,negative
19,unknown,she,-1,negative
19,unknown,poor lukas,-1,negative
19,unknown,altar sight,0,negative
19,unknown,book,-1,negative
19,unknown,unleashedthe night walker god,-1,negative
19,unknown,finch life,-1,negative
19,unknown,yucatan jungle,0,negative
19,unknown,nothing,0,negative
19,unknown,translate mayan glyph,0,negative
19,unknown,extremely special want protect,0,negative
19,unknown,releasedthe plot,-1,negative
19,unknown,pure evil,-1,negative
19,unknown,he,0,negative
19,unknown,evil unite,0,negative
19,unknown,that,0,negative
19,unknown,research assistant lukas smith,0,negative
19,unknown,danger,0,negative
20,unknown,kwan fastpaced edgy twist,0,negative
20,unknown,dug magnificent read,1,negative
20,unknown,nothing,0,negative
21,unknown,new world,-1,negative
21,unknown,door,0,negative
21,unknown,parent,-1,negative
21,unknown,one fivebook series,-1,negative
21,unknown,fliesthis book,1,negative
21,unknown,dead leah,0,negative
21,unknown,anyone,-1,negative
21,unknown,type commune,-1,negative
21,unknown,grandpa fine bad dream,0,negative
21,unknown,adam eve,0,negative
21,unknown,door police,0,negative
21,unknown,vision,0,negative
21,unknown,another book,-1,negative
21,unknown,leahs father,0,negative
21,unknown,multiple book,-1,negative
21,unknown,mother leah,-1,negative
21,unknown,police coming tell,-1,negative
21,unknown,lord,0,negative
21,unknown,current book reading end,-1,negative
21,unknown,year old hannah,0,negative
21,unknown,group child,0,negative
21,unknown,that,0,negative
21,unknown,everyone,-1,negative
21,unknown,entire world,0,negative
21,unknown,another vision,0,negative
21,unknown,happens secondary character,-1,negative
21,unknown,hook book draw,-1,negative
21,unknown,less entire fivebook series,-1,negative
21,unknown,additional book series,-1,negative
21,unknown,mother,-1,negative
22,unknown,money,-1,negative
22,unknown,primarily based information,-1,negative
22,unknown,internet direction,0,negative
22,unknown,duct tape bag,0,negative
