review,rating
It was hard to wrap my head around a hero who is six foot eleven tall!  No pun intended.  Just didn't work for me and I won't be buying the rest of the series.,3.0
"Damn, I enjoyed the blurb so much I'm giving it a premature, provisional 5 Stars.I definitely want to know how to write a threatening introduction. (Fair warning: If there are no practical techniques offered by PPIII, I'm going to revise my review to a snarling, 1-star hate-fest that states, in part, his bow tie must've cut off circulation to his brain, etc.)Thank you for providing a timely how-to on a vexing issue that the self-published face today. (Unless you haven't. In which case, I'll be opening a can of verbal whoop-ass on you, buster.)",5.0
I enjoyed the storyline but I believe that it could have been better. The concept for this series had huge potential but I think the quick and racy sex scenes took over. I hope the second book in the series will be more to do with the storyline concept.,4.0
"Received book free of charge from the Author for an honest review.Ethan has been plagued with dreams of his colleague, David. Not just everyday regular dreams either. Erotic dreams that are keeping him on edge. David has been attracted to Ethan for awhile and has been biding his time. That is until they find themselves stranded and he notices the heated looks being sent his way. David is determined to loosen Ethan up, if he will let him. Ethan is nervous, but he doesn't fight the attraction he feels for David.It's not about sexual orientation it's about the touch of another person. Neither man is gay, but what they find together is beautiful and something worth exploring.Let's just say that these two men bring out the beast in the other and WOW it was HOT!! Then when a third was brought in it just got that much hotter. I really enjoyed this book and recommend it for anyone who likes to read graphic erotica.Yep, I'm giving it 5 HOT Stars!!!",5.0
"A fast-paced, sexy, emotional and sometimes tender romp through the damaged psyche of two men who complement each other through their own flaws and deep desires.Dominic Scotto is heartbroken, having walked in on his lover with another man. A man he'd thought was out of his boyfriend Wes' life for good. Then things get even worse. He's knocked unconscious and wakes up bound to a chair with what looks a psychopath ready to carve him up.Smoke is an assassin--a very well-placed, well-respected assassin, but still a killer. And Dominic is his next target. Smoke wants some answers from Dominic about his father's empire and he's no averse to using violence and coercion to get them. But the son of the father has nothing to give. Instead he has to watch as he's slowly cut and sliced by Smoke in his efforts to draw out what he wants to know.Then things get a little...awkward. Smoke begins to realize that Dominic isn't all that averse to the torture he's inflicting, and in fact, it's having quite an effect on the young man. From that point on, things spiral out of control, certainly out of Smoke's as he struggles to come to terms with the conflicting feelings he has for Dominic.It's gritty, sexy and violent in some parts, as the two men face each other down, both with their own needs and desires, hot passion flaring and taking over as the walls each have built around themselves come tumbling down.The book is written well, the characters fleshed out so that you get to understand them and what makes them tick. If you fancy a bit of violence, cruelty, family drama and justice, ending with the culmination of these two men finding each other again, then you'll love this story.Reviewed by Susan Mac Nicolfor TheRomanceReviews.com",3.0
Wonderful writing. Excellent plots. I liked all the characters in all the books. I would recommend this book to friends. I had a hard time with the last book. I am not into Kinky sex. Some parts were a bit much!,5.0
"I am a long-time reader of Lora Leigh's books, and this one was pretty good.  The plot line was predictable but I liked the interaction between Sax and Marey.  However, there is one aspect of this author's writing that I really get tired of, and that is her over-use of phrases such as ""breathed out roughly"", ""spoke roughly"", ""breathed in roughly"", ""whispered roughly"";  please, Ms. Leigh, be aware that when one word is used over and over again in books, ad nauseum, it gets really old fast!  In this particular book, I counted at least 6 times when these types of phrases were used.",3.0
"I learned about Glenn Soucy on Twitter & decided to purchase his book series.  I was skeptical at first, wondering if I would enjoy this genre.  Glenn does a good job keeping the story fresh and moving.  His character development is sound.  There are a few e-book formatting issues, but I can live with those.  Overall, I'd say Glenn is a good writer.",4.0
"I enjoy reading young adult novels even if I'm older than the perfect reader, so I was very happy when I received a complimentary copy in exchange for my review. I must admit that after a great introduction where you could get an introduction to the setting and the main character, the first chapters were a little bit difficult to read because of the language and slow events but the characters are well described and after the awkward scene of love of first sight, the novel really starts engaging the reader.The author did a great job in creating a young, strong and likable character as Thera who starts a personal journey and discovers her real powers to fight evil and lethal enemies.One of the elements I really loved was how the nature is linked to the characters: the force, the forest talking to Thera and trying to help and warn, the animal spirits... I think it was a great way to make readers thinking about our impact to the Earth and what can we do to improve the world around us.I also loved the relationship between the characters,and I always appreciate when in a Y/A novel young girls have the power to change and fight instead of just being in love or saved by their true love.I hope the sequel will be published soon to read more about Thera and the Elanraigh world as the ending arrived when I was totally enjoying the story.I'd recommend this book to everyone who loves a well written novel about magic, love, adventure and nature.",4.0
"Renee Rose has a gift when it comes to writing historical romance.  She can paint a picture that you can readily see in your mind's eye and gives you a glimpse of how things used to be.  You feel as if you are there experiencing what her characters are going through and that leads to an emotional connection.  This is a wonderful story with a strong plot and stronger characters.I loved the character of Jean-Claude, I think he was my favorite in this story.  He is surely an alpha man but there is such warmth and caring which is a huge part of his character. Corinne is surely a lucky woman.  There is some great romance and some hot sex with some well deserved discipline applied as necessary.  Well done Ms. Rose and I am sure this is one I will read again.I received this book from Stormy Night Publications as an Advanced Reader Copy. Hmmmm, I don't know why my name was changed to Amazon Customer, sheesh, but I have changed it back to SH!",5.0
